id,name,short,desc,cost,isBonus,isGolden,spritePath,effectPlugin,extra1,extra2,source,tags,spriteAuthor
#dx3_rule,Rule,Something something,"Big fat rule does %s, %s and %s.",0,FALSE,FALSE,graphics/urb/icons/ungp/placeholder.png,data.scripts.ungprules.impl.combat.UNGPDX_Rule,,,"[URB] - ""This rules.""",,Who?
,,,,,,,,,,,,,
# Negative Rules,,,,,,,,,,,,,
# Character,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
# Combat,,,,,,,,,,,,,
dx3_prosperous_forging,Antagonism,Hostile S-Mods,Every enemy ship has %s chance to have a random S-Mod from it's Faction pool for the duration of combat. There is a %s chance to roll for up to %s additional S-Mods after first one.,3,FALSE,FALSE,graphics/urb/icons/ungp/prosperous_forging.png,data.scripts.ungprules.impl.combat.UNGPDX_ProsperousForging,,,"[URB] - ""We all know your story, guy. You go there, do this, personally supervise ship modification and roll with it. Now let me tell you my story. If you are willing to listen, listen well. Or else you might regret this.""",,DemonX3
dx3_wartime_warcrime,War Time War Crime,Increase crew loss from hull damage,Increases crew casualties in combat through hull damage by %s.,2,FALSE,FALSE,graphics/urb/icons/ungp/wartime_warcrime.png,data.scripts.ungprules.impl.combat.UNGPDX_WarTimeWarCrime,,,"[URB] - ""Geneva Convention? Geneva Suggestion!""",,DemonX3
dx3_skeleton_king,Deathless,Enemies cheat death,"Upon taking fatal damage, enemy destroyers and cruisers will instantly fully recover %s a combat. It will recover all its %s. Flux capacitors will be %s. Ship's PPT will be %s, if any remained. Flagship and certain ships will benefit regardless of size. Capital ships only gain half the replenishments.",5,FALSE,FALSE,graphics/urb/icons/ungp/skeleton_king.png,data.scripts.ungprules.impl.combat.UNGPDX_SkeletonKing,,,"[URB] - ""I shall endure a thousand deaths before I yield.""",,DemonX3
dx3_dazing_pilotage,Dazing Pilotage,Allied crew is sleepy,"For each player and allied ship, every %s second there is a %s chance to lose ship control for %s seconds (based on hull size).",4,FALSE,FALSE,graphics/urb/icons/ungp/dazing_pilotage.png,data.scripts.ungprules.impl.combat.UNGPDX_DazingPilotage,,,"[URB] - ""You know, I really could go for some coffee.""",,DemonX3
dx3_blight,Blight,Armor constantly corrodes,"All player and allied ships lose %s of armor every second until it is %s or %s of maximum, whichever is lower.",4,FALSE,FALSE,graphics/urb/icons/ungp/blight.png,data.scripts.ungprules.impl.combat.UNGPDX_Blight,,,"[URB] - ""This vessel is rotten to the core.""",,DemonX3
dx3_mirage,Mirage,Faulty phase sensors,Enemy phase ships gain %s and %s when phased.,1,FALSE,FALSE,graphics/urb/icons/ungp/mirage.png,data.scripts.ungprules.impl.combat.UNGPDX_Mirage,,,"[URB] - ""I can hear it whispering. It is always close, breathing right onto your back.""",,DemonX3
dx3_thin_insulator,Thin Insulator,Longer overloads,Increase overload duration of all allied and player ships by %s.,1,FALSE,FALSE,graphics/urb/icons/ungp/thin_insulator.png,data.scripts.ungprules.impl.combat.UNGPDX_ThinInsulator,,,"[URB] - ""'I may have failed to resist the indomitable urge to coat flux conduit array in maple syrup.' - John Autofit, Nachiketa Dry Dock Engineer, as he is taken into custody by the IRS, c208.""",,DemonX3
dx3_jinxed,Jinxed,Malfunctioning equipment,Player and allied ships suffer from %s non-critical malfunctions.,3,FALSE,FALSE,graphics/urb/icons/ungp/jinxed.png,data.scripts.ungprules.impl.combat.UNGPDX_Jinxed,,,"[URB] - ""Wary be of black cat on a moonless night.""",,DemonX3
,,,,,,,,,,,,,
# Economy,,,,,,,,,,,,,
dx3_crisis_binding,Grief of Demeter,Planetary meltdown,Increases hazard rating of all player colonies by %s.,4,FALSE,FALSE,graphics/urb/icons/ungp/demeter.png,data.scripts.ungprules.impl.economy.UNGPDX_ColonySuffering,,,"[URB] - ""The land withered and became infertile, as her grief and anger caused the crops to fail and the world to plunge into a perpetual winter.""",,DemonX3
,,,,,,,,,,,,,
,,,,,,,,,,,,,
# Fleet,,,,,,,,,,,,,
dx3_pestilence,Pestilence,Mothballed ships put strain on the fleet,"For each mothballed ship, decrease fleet's CR by %s.",1,FALSE,FALSE,graphics/urb/icons/ungp/pestilence.png,data.scripts.ungprules.impl.fleet.UNGPDX_Pestilence,,,"[URB] - ""I tell you, Captain. All these unpowered ships just strain our fleet, can we get their engines going?""",,DemonX3
dx3_celebrity,Celebrity,Well known persona,Player's current flagship is %s,5,FALSE,FALSE,graphics/urb/icons/ungp/celebrity.png,data.scripts.ungprules.impl.fleet.UNGPDX_Celebrity,,,"[URB] - ""'May I have an autograph before my fleet blasts you apart?' 'Uh...'""",,DemonX3
,,,,,,,,,,,,,
# Member,,,,,,,,,,,,,
dx3_scary_dmod,Reaper's Tax,Severe D-Mods,Effect of D-Mods is increased by %s.,2,FALSE,FALSE,graphics/urb/icons/ungp/reapers_tax.png,data.scripts.ungprules.impl.member.UNGPDX_ScaryDmod,,,"[URB] - ""One day you are in perfect health, ready to battle. The next day you cannot feel your spine, ribs shattered and skin burnt. Such is life.""",,DemonX3
dx3_more_dmod,Brittle Framing,Fragile ship debris and lots of D-Mods,Disabled player ships are %s more probable to be destroyed and are %s more prone to gain new D-Mods.,3,FALSE,FALSE,graphics/urb/icons/ungp/brittle_framing.png,data.scripts.ungprules.impl.member.UNGPDX_MoreDmod,,,"[URB] - ""Perhaps telling that pirate to 'off themselves was not so ingenuous of a move.""",,DemonX3
,,,,,,,,,,,,,
# Other,,,,,,,,,,,,,
#dx3_debtstacking,Financial Obligation WIP,Debts should be paid,"At the end of month, unpaid debts take additional %s or %s credits, whichever is lower.",1,FALSE,FALSE,graphics/urb/icons/ungp/debtstacking.png,data.scripts.ungprules.impl.other.UNGPDX_FinancialObligation,Your debt has taken additional %s star coins from you.,,"[URB] - ""You have a month. Otherwise...""",,DemonX3
dx3_famine,Famine,Crew must be fed,"Every crewmember and marine consumes %s and %s food monthly. If food is unavailable at the end of month, %s of total crew will starve to death and leave some organs behind. At least one unit of food is required regardless.",2,FALSE,FALSE,graphics/urb/icons/ungp/famine.png,data.scripts.ungprules.impl.other.UNGPDX_Famine,Your crew has consumed %s food this month.,"Due to lack of food, %s crew and %s marines have starved to death and left %s organs.","[URB] - ""Hey! This supply box' food compartment is empty!""",,DemonX3
dx3_spxpdebuff,Same Old Story,Bonus XP deteriorates over time,"Every day, lose %s of accumulated bonus XP.",1,FALSE,FALSE,graphics/urb/icons/ungp/spxpdebuff.png,data.scripts.ungprules.impl.other.UNGPDX_SPXPDebuff,,,"[URB] - ""'This story is about a starfarer from Gala-' 'Oi, you've been telling this story every day for the past 4 months.'""",,DemonX3
dx3_golden_binding,Greed of Midas,Golden meltdown,%s,4,FALSE,TRUE,graphics/urb/icons/ungp/midas.png,data.scripts.ungprules.impl.other.UNGPDX_EmptyRuleLmao,,,"[URB] - ""Then he understood that this gift was a bane and in his loathing for gold, cursed his prayer.""",no_roll,DemonX3
dx3_dementia,Delayed Potential,Knowledge detained for later,"When taken for the first time, increases player level by %s without awarding any skill or story points. Awards %s skill and %s story points back upon reaching level %s.",3,FALSE,FALSE,graphics/urb/icons/ungp/dementia.png,data.scripts.ungprules.impl.other.UNGPDX_Dementia,Your potential has been unlocked.,,"[URB] - ""'Sir, I don't understand' 'We've covered this subject last year. I am not going to repeat.'""",,DemonX3
,,,,,,,,,,,,,
# Milestone,,,,,,,,,,,,,
